,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
45,22.22222222222222,12,256,4,128,4,8,4,3.0,0.00045,164.69,21.897701
46,67.11409395973155,3,256,2,2048,2,2,2,2.0,0.000149,51.739,6.347482
47,10000.0,1,2,2,8192,2,8,8,3.3,10000.0,10000.0,10000.0
48,67.11409395973155,3,512,64,1024,8,4,2,2.1,0.000149,61.328,6.914496
49,22.22222222222222,12,128,1024,8192,8,2,8,3.4,0.00045,279.63,31.263654
50,44.247787610619476,6,1024,4,1024,2,2,4,3.2,0.000226,121.18,14.123800000000001
51,19.41747572815534,14,2048,32,512,2,4,8,2.5,0.000515,354.53,41.327436000000006
52,10000.0,6,4,2048,512,8,8,2,3.0,10000.0,10000.0,10000.0
53,67.11409395973155,3,8,256,512,8,8,2,2.3,0.000149,50.127,6.038283
54,22.22222222222222,12,1024,128,8192,2,8,4,3.4,0.00045,285.13,31.433377
55,15.975529841375257,14,256,4,32768,2,8,8,3.4,0.000515,440.99,38.786638
56,22.22222222222222,12,2048,32,64,4,2,2,3.8,0.00045,302.29,35.027021000000005
57,10000.0,6,128,2,1024,8,2,4,2.3,10000.0,10000.0,10000.0
58,77.51937984496125,2,256,8,128,4,8,2,3.1,0.000129,29.538,3.911303
59,24.213075060532685,11,8,128,4096,4,2,4,3.6,0.000413,158.43,20.341952
60,37.17472118959108,7,256,1024,32768,4,4,4,3.1,0.000269,385.41,30.200978000000003
61,58.47953216374268,1,1024,512,16384,4,4,8,3.0,0.000171,157.53,10.17644
62,30.030030030030026,9,256,512,512,4,2,8,2.8,0.000333,152.18,19.33741
63,44.247787610619476,6,1024,16,2048,4,4,4,2.9,0.000226,127.81,14.569576999999999
64,26.178010471204185,10,32,256,8192,8,2,8,3.7,0.000382,195.7,21.784814
65,77.51937984496125,2,2048,16,16384,8,4,8,3.4,0.000129,188.3,13.533491
66,24.213075060532685,11,128,8,512,2,4,4,3.3,0.000413,127.0,18.801707
67,37.17472118959108,7,4,32,4096,8,2,2,3.3,0.000269,121.76,13.597131
68,52.63157894736842,4,16,64,64,8,4,8,3.7,0.00019,53.993,7.019073
69,51.282051282051285,5,64,1024,512,8,8,2,2.9,0.000195,104.2,12.04586
70,44.247787610619476,6,128,256,2048,8,4,2,3.7,0.000226,102.59,12.20003
71,32.78688524590164,8,8,32,256,8,4,4,2.8,0.000305,105.0,13.715208
72,24.213075060532685,11,16,512,16384,4,8,2,3.0,0.000413,309.86,29.348156
73,67.11409395973155,3,16,32,16384,8,8,8,2.1,0.000149,177.78,12.806024
74,24.213075060532685,11,128,256,512,8,4,4,3.7,0.000413,163.0,20.898079000000003
75,51.282051282051285,5,16,16,512,4,2,4,3.2,0.000195,58.711,8.447144000000002
76,52.63157894736842,4,16,256,32768,4,2,4,3.1,0.00019,289.59,20.598699
77,22.22222222222222,12,8,512,256,4,4,8,2.6,0.00045,183.44,23.87835
78,67.11409395973155,3,128,8,128,8,8,8,2.1,0.000149,46.486,5.777054
79,67.11409395973155,3,128,512,2048,4,4,4,2.5,0.000149,62.925,7.134954
80,51.282051282051285,5,32,512,256,4,8,4,2.6,0.000195,87.356,10.537045
81,21.36752136752137,13,64,32,1024,2,2,4,3.5,0.000468,151.35,22.080168999999998
82,67.11409395973155,3,16,32,64,2,2,2,3.2,0.000149,33.49,5.014902
83,59.1715976331361,1,32,4,128,2,4,8,2.6,0.000169,14.065,1.911812
84,67.11409395973155,3,32,256,64,4,2,4,3.1,0.000149,38.389,5.45902
